,v1,v2
1563,ham,get redy  pt on yor excellent sb fce 
1564,ham,tmrw im finishing  doors
1565,ham,the  ltgt g tht i sw  few dys go the gy wnts sell wifi only for  ltgt  nd with g for  ltgt  thts why i blnked him
1566,ham,i m lte i will be there t
1567,ham,whtever im pretty pissed off
1568,ham,dy is ccept dy ccept me s brother sister lover der best clos lvblefrnd jstfrnd ctefrnd lifprtnr belovd swthert bstfrnd no rply mens enemy
1569,ham,i dont hve tht mch imge in clss
1570,ham,noi got rmor tht yo going  by prtment in chenni
1571,ham,ner klinr tv officethenmpet
1574,ham,my sis is ctching e show in e fternoon so im not wtching w her so c  wn  wtch dy or tmr lor
1575,ham,sonds gd hh cn wh  yn ji so fst lio
1576,ham,no  be nosy i gess idk m i over recting if im freked
1577,ham,remember ll those whom i hrt dring dys of stnic imposter in meneed  py  priceso be itmy destiny keep me going nd s  sid pry tht i get the mind  get over the sme
1578,ham,how  mke  girl hppy its not t ll difficlt  mke girls hppy  only need  be   friend  compnion  lover  chef     ltgt  good listener  ltgt  orgnizer  ltgt  good boyfriend  ltgt  very clen  ltgt  sympthetic  ltgt  thletic  ltgt  wrm     ltgt  corgeos  ltgt  determined  ltgt  tre  ltgt  dependble  ltgt  intelligent     ltgt  psychologist  ltgt  pest exterminr  ltgt  psychitrist  ltgt  heler    ltgt  stylist  ltgt  driver   niye pdng venm
1579,ham,why is tht princess i bet the broths re ll chsing yo
1580,ham,i shll book chez jles for hlf eight if thts ok with yo
1581,ham,hhhhhhh rofl wtf nig ws leonrdo in yor room or something
1582,ham,yep t dereks hose now see yo sndy lt
1583,ham,its cool let me know before it kicks off rond  ltgt  ill be ot nd bot ll dy
1584,ham,sorry ill cll lter
1585,ham,i ws wondering if it wold be oky for yo  cll ncle john nd let him know tht things re not the sme in nigeri s they r here tht  ltgt  dollrs is yers sent nd tht yo know its  strin bt i pln  py bck every dime he gives every dime so for me  expect nything from yo is not prcticl something like tht
1586,ham,there re no other chrges fter trnsfer chrges nd yo cn withdrw nyhow yo like
1587,ham,dont serch love let love find  thts why its clled flling in love bcoz  dont force yorself  jst fll nd  know there is smeone  hold  bslvyl
1588,ham,t  lets go  bill millers
1589,ham,i love yo yo set my sol on fire it is not jst  sprk bt it is  flme  big rwring flme xoxo
1590,ham,somewhr someone is srely mde   nd god hs decided  perfect time  mke  meet dt person    till den      enjoy r crshes
1591,ham,thts my honeymoon otfit 
1592,ham,will it help if we propose going bck gin morrow
1594,ham,never blme  dy in r life good dys give  hppiness bd dys give  experience both re essentil in life ll re gods blessings good morning
1595,ham,pls confirm the time  collect the cheqe
1598,ham,dddy will tke good cre of yo 
1599,ham,yeh probbly i still gott check ot with leo
1600,ham,kthen ny other specil
1601,ham,crlos is tking his sweet time s sl so let me know when yo nd ptty re donewnt  smoke nd ill tell him  hl ss
1602,ham,ok p nothing problem
1603,ham,hve yo herd bot tht job im going  tht wildlife tlk gin night if  wntcome its thtworzels nd  wizzle or whtever it is 
1604,ham,god picked p  flower nd dippeditindew lovingly ched itwhichtrnedin  nd the he gifted mendsidthis friend is 
1605,ham,when yo cme  hostel
1606,ham,ok no prob ill come fter lnch then
1607,ham,js telling  dt ill b leving  shnghi on st insted so well hf more time  meet p cy
1608,ham,re yor freezing  re yo home yet  will yo remember  kiss yor mom in the morning do yo love me  do yo think of me  re yo missing me yet 
1609,ham,yo ll redy for  big dy morrow
1610,ham,ill probbly be rond m  lot
1611,ham,
1613,ham,thnx dde  gys ot nite
1614,ham,me sef dey lgh yo menwhile hows my drling njie
1615,ham,mm i hd my food d from ot
1616,ham,k mkes sense btw crlos is being difficlt so yo gys re gonn smoke while i go pick p the second btch nd get gs
1617,ham,did  downlod the fring pp
1618,ham,the  oz gy is being kind flky bt one friend is interested in picking p  ltgt  worth night if possible
1619,ham,friends tht  cn sty on fb cht with
1620,ham,fck bbe i miss yo sooooo mch  i wish yo were here  sleep with me  my bed is so lonely  i go now  sleep   drem of yo my love 
1621,ham,living is very simple loving is lso simple lghing is o simple winning is oo simple bt being simple is very difficlt gd nte
1623,ham,h well tht confses things doesnt it
1625,ham,hi der cll me its rgnt i dont know whts yor problem yo dont wnt  work or if yo hve ny other problem t lest tell me wting for yor reply
1626,ham,der how yo re yo ok
1628,ham,yes princess i wnt  mke yo hppy
1629,ham,sonds like yo hve mny tlents wold yo like  go on  dinner dte next week
1630,ham,i m going  film dy d t pm sorry d
1631,ham,we not wtching movie lredy xy wnts  shop so im shopping w her now
1632,ham,hello my little prty niml i jst thoght id bzz yo s yo were with yor friends grins reminding yo were loved nd send  nghty doring kiss
1633,ham,yesterdy its with me only  now m going home
1635,ham,yo hve come in my life nd broght the sn shiny down on me wrming my hert ptting  constnt smile on my fce  mking me feel loved nd cred for
1636,ham,no shit bt i wsnt tht srprised so i went nd spent the evening with tht french gy i met in wn here nd we fooled rond  bit bt i didnt let him fck me
1638,ham,gret comedycnt sp lghing d
1640,ham,lright were ll set here text the mn
1641,ham,hi  where re yo were t  nd theyre not keen  go ot i kind of m bt feel i sholdnt so cn we go ot mo dont mind do yo
1642,ham,sleeping nt feeling well
1643,ham, will switch yor fone on dmmit
1644,ham,indi hve  tke led
1645,ham,ill post her ot lr in clss
1646,ham,thts wt wright brother did  fly
1647,ham,evening  v good if somewht event lden will fill yo in dont yo worry  hed  ok bt throt  wrecked see yo t six then
1648,ham,if  lgh relly lod if  tlk spontneosly if  dont cre wht others feel  re probbly with yor der mp best friends goodevening der
1649,ham,its  lpp tke it with yo
1650,ham,i dont hve ny of yor file in my bgi ws in work when yo clled mei ll tell yo if i find nything in my room
1651,ham,i wn bt o erly lei me otside now wn b home so erly nev mind then
1653,ham,i ws t bgis jz now wt bt now im wlking home oredi  so lte then reply i oso sw  p dt i like bt din by where r  now 
1654,ham,wishing yo nd yor fmily merry x ms nd hppy new yer in dvnce
1655,ham,t  we will go ok n
1656,ham,yes i posted  cople of pics on fb theres still snow otside o im jst wking p 
1657,ham,sif we hve one good prtnership going we will tke led
1659,ham,yeh wheres yor clss t
1660,ham,no jst send  yo bec yo in temple n
1661,ham,yo rent coming home between clss right i need  work ot nd shower
1663,ham,s bt mostly not like tht
1664,ham, v m fn
1665,ham,dnno cos i ws v lte n when i rech they inside lredy bt we te spgeddies lor its e gls who r lghing t me lor
1666,ham,gess who spent ll lst night phsing in nd ot of the forth dimension
1667,ham,so now my dd is gonn cll fter he gets ot of work nd sk ll these crzy qestions
1668,ham,yesbt they sid its it
1669,ham,very hrting n meningfl lines ever i compromised everything for my love
1670,ham,lmonice 
1671,ham,gld  see yor reply
1674,ham,nh db bt je still bff
1675,ham,pinfl words i thoght being hppy ws the most ghest thing on erth bt
1676,ham,yeh thts fine its   get in is tht ok 
1677,ham,lol where do  come p with these ides
1678,ham,so mny people seems  be specil t first sight bt only very few will remin specil  yo till yor lst sight mintin them till life ends shjs
1679,ham,dy is song dedicted dy which song will  dedicte for me send this  ll r vlble frnds bt first rply me
1680,ham,oky we wit h
1681,ham,y lei
1682,ham,hi bbe  r most likely  be in bed bt im so sorry bot night i relly wnn see  morrow so cll me t  love me xxx
1683,ham,lredy m sqtting is the new wy of wlking
1684,ham,do yo wnt bold  or bb rch
1685,ham,crmps spped going bck  sleep
1688,ham,nn sonthy soldh why boss
1689,ham,bring tt cd don forget
1691,ham,i dont know bt im rping ddes t poker
1692,ham,weightloss no more girl friends mke lods of money on eby or something nd give thnks  god
1693,ham,ws gr  see tht messge so when r  leving congrts der wht school nd wt r r plns
1694,ham, etin lter bt im etin wif my frens now lei  going home first 
1695,ham,finish lredy yr they keep sying i mshy i so embrrssed ok
1696,ham,sorry mn my stsh rn dry lst night nd i cnt pick p more  sndy
1697,ham,hi priy re yo right wht docr sid p where re yo
1699,ham,ok
1700,ham,plese sk mmmy  cll fther
1701,ham,cn come my room bt cnnot come my hose cos my hose still messy hh
1702,ham,i hve lost  kilos s of dy
1703,ham,jst tste fish crry p
1704,ham,wht cn i do might ccidnt okplce between somewhere ghodbndr rd trffic moves slovely so plz slip mp dont worry
1705,ham,yn hnow  wkg wherebtw if  go ns sc  wn specilise in wd
1706,ham,yes i m  one womn mn plese tell me yor likes nd dislikes in bed
1707,ham,ws doing my test erlier i pprecite yo will cll yo morrow
1708,ham,hows my loverboy doing  wht does he do tht keeps him from coming  his qeen hmmm  doesnt he che  spek  me  miss me desprtely 
1709,ham, meet other fren dn wn meet me h mz b  gy rite
1710,ham,no promises on when thogh hvent even gotten dinner yet
1711,ham,i got yor bck do yo hve ny dislikes in bed
1712,ham,o trns ot i hd stereo love on mi phone nder the nknown lbm
1714,ham,yeh i dont see why not
1715,ham,sking do  knw them or nt my be r frnds or clssmtes
1716,ham,sorry bot erlier ptting ot firesre yo rond  tlk fter  or do yo ctlly hve  life lol
1718,ham,s in missionry hook p doggy hook p stnding
1719,ham,then  better go sleep dn distrb  lio  wke p then msg me lor
1720,ham,fighting with the world is esy  either win or lose bt fightng with some who is close   is dificlt if  lose   lose if  win   still lose
1721,ham,m wtching hose  very entertining  m getting the whole hgh lrie thing  even with the stick  indeed especilly with the stick
1722,ham,thoght prps yo ment nother one goodo ill look morrow 
1723,ham,hi jon pete here ive bin  spin recently  hv sm dinero left bill sid  or r rents myb interested in it i hv pes so rond  tb jmes
1724,ham,there bold   ltgt  is tht yors
1725,ham,yo know there is i shll spek  yo in  ltgt  mintes then
1726,ham,lrite hnnywot  p  nite didnt end p goin down wn js d pb insted js chillin t d mo in me bedroomlove jen xxx
1727,ham,i went  project centre
1728,ham,s per yor reqest mnglym lipythe hs been set s yor cllertne for ll cllers press   copy yor friends cllertne
1729,ham,lol yeh t this point i gess not
1730,ham,doing project w frens lor 
1731,ham,lol well qlity int bd t ll so i int complining
1732,ham,k cn tht hppen night
1734,ham,i think were going  finns now come
1735,ham,why tired wht specil there yo hd
1736,ham,i will come morrow di
1737,ham,i cnt pick the phone right now pls send  messge
1738,ham,k go nd sleep well tke rest
1739,ham, gys never invite me nywhere 
1741,ham,i cn do tht i wnt  plese yo both inside nd otside the bedroom
1742,ham,ey clm downon thecstions itxt  cos iwn know wot r doin t thewend hventcn  in gesring me if r p nething stlove j xxx
1743,ham,i love  wine nd dine my ldy
1745,ham,im cool t lv bt vtired  cse i hve been doin lods of plnning ll wk we hve got or socil services inspection t the nrsery tke cre  spk sn x
1746,ham,i don know ccont detilsi will sk my mom nd send yomy mom is ot of rech now
1747,ham,i think  hve the wrong nmber
1748,ham,feel yorself tht yo re lwys hppy slowly it becomes yor hbit mp finlly it becomes prt of yor life follow it hppy morning mp hve  hppy dy
1749,ham,do not b lte love mm
1750,ham,got itmil pnren pr
1751,ham, ws thinking bot chckin r red green n blck trinners  sve crryin them bc on trin
1752,ham,give one miss from tht nmber plese
1753,ham,js cme bck fr lnch wif my sis only  leh
1754,ham,how is yor schedle next week i m ot of wn this weekend
1755,ham,relly gooddhnsh rocks once gin
1756,ham,lmo ok i wont be needing   do my hir nymore
1757,ham,miss y need y wnt y love y
1758,ham,sorry im not free
1759,ham,do  ever get  song stck in yor hed for no reson nd it wont go wy til  listen  it like  times
1760,ham,nt yet chikksimple hbbhw bt 
1761,ham,got r mil dileepthnk yo so mchnd look forwrd  lots of spportvery less contcts hereremember one vengopl yo mentionedmorrow if not ltei shll try  come p till theregoodnight der
1762,ham,sometimes hert remembrs someone very mch forgets someone soon bcoz hert will not like everyone bt liked ones will be remembered everytime bslvyl
1763,ham,joys fther is john then john is the nme of joys fther mndn
1765,ham,hi this is yije its regrding the  textbook its intro  lgorithms second edition im selling it for 
1767,ham,k wnt s  come by now
1768,ham,how its  little difficlt bt its  simple wy  enter this plce
1769,ham,h both of s doing e sme thing bt i got tv  wtch  cn thk of where  go night or  lredy hf smth in mind
1770,ham,dont show yorself how fr pt new pictres p on fcebook
1771,ham,wtching tv now i got new job 
1772,ham,good fternoon sexy bns how goes the job serch  i wke nd yo re my first thoght s lwys my love i wish yor fine nd hppy nd know i dore yo
1773,ham,im not coming over do whtever yo wnt
1774,ham,its ok chikk nd its my  of fvorite song
1775,ham,did  see wht i posted on yor fcebook
1778,ham, wonders in my world th yo th r style th r smile th r personlity rd r ntre nd r sms nd st r lovely friendship good morning der
1781,ham, oh well c  lter
1782,ham,my ncles in tlnt wish yo gys  gret semester
1783,ham,no der i do hve free messges withot ny rechrge hi hi hi
1784,ham,dont serch love let love find  thts why its clled flling in love bcoz  dont force yorself  jst fll nd  know there is smeone  hold  bslvyl
1785,ham,i dn believe  i thk  ld him
1786,ham,do yo know why god creted gp between yor fingers so tht one who is mde for yo comes mp fills those gps by holding yor hnd with love
1787,ham,yessr in sn tvlol
1788,ham,rn cn  trnsfr me d mt
1789,ham,tkin  shower now bt yeh ill leve when im done
1790,ham,m not working bt m p  eyes in philosophy so will text  lter when  bit more free for cht
1791,ham, hvent lost me ill lwys b here i didnt intend  hrt  bt i never knew how  felt bot me when iwsmrinethts wht itriedtell rmomi crebot 
1793,ham,yo bd girl i cn still remember them
1794,ham,how mch i gve  yo morning
1795,ham,i hope yor lright bbe i worry tht yo might hve felt  bit desprte when yo lerned the job ws  fke  i m here witing when yo come bck my love
1796,ham,hey cn yo tell me blkes ddress crlos wnted me  meet him there bt i got lost nd hes not nswering his phone
1797,ham,cn i get yor opinion on something first
1798,ham,tht one week leve i pt know tht time why
1799,ham,if we hit it off yo cn move in with me 
1800,ham,excellent i spent  ltgt  yers in the ir force irq nd fghnistn i m stble nd honest do yo like trveling
1801,ham,i wnn wtch tht movie
1802,ham,ok lor thnx  in school
1803,ham,im in clss did yo get my text
1804,ham,the bs leves t  ltgt 
1805,ham,god blessget good sleep my deri will pry
1807,ham,do hve  nice dy dy i love yo so derly
1808,ham,iyo  bit pi seh  noe scred he dn rem who i m then die hee bt he become better lookin oredi leh
1809,ham,ight ill sk  few of my roommtes
1810,ham,now whts yor hose  gin  nd do yo hve ny beer there 
1811,ham,do  ll wn  meet p n combine ll the prts hows d rest of d project going
1812,ham,getting tickets  wlsll te  th mrch my mte is getting me them on st ill py my tret wnt  go txt bk terry
1813,ham,yes we re chtting o
1814,ham,hi its jess i dont know if yo re t work bt cll me when  cn im t home ll eve xxx
1815,ham,sin ft meeting spervisor got work  do lio  working now
1816,ham,re yo going  write ccn exm this week
1817,ham,well i will wtch shrek in db
1818,ham,m i tht mch dirty fellow
1819,ham,dnno dts wt he ld me ok lor
1820,ham,ill probbly be by morrow or even lter night if somethings going on
1821,ham,i coldnt sy no s he is  dying mn nd i feel sd for him so i will go nd i jst wnted yo  know i wold probbly be gone lte in yor night
1822,ham,if yore thinking of lifting me one then no
1823,ham,sme s  dn wn y  dn like me lredy h wt  doing now still eting
1824,ham,sent me r emil id soon
1825,ham,wt mkes some people derer is not jst de hppiness dt  feel when  meet them bt de pin  feel when  miss dem
1826,ham,dde whts p how teres hope yo hve been oky when i didnt her from these people i clled them nd they hd received the pckge since dec  ltgt  jst thot yold like  know do hve  fntstic yer nd ll the best with yor reding pls if yo cn relly relly bm first id for smle then yor work is done
1827,ham,hey gorgeos mn my work mobile nmber is hve  good one bbe sqishy mwhs
1828,ham,my i cll yo lter pls
1830,ham,thts the wy yo shold sty oh
1831,ham,hello thnx for tking tht cll i got  job strts on mondy
1832,ham,wht time is r flight tmr
1833,ham,when shold i come over
1834,ham,i hve  rther prominent bite mrk on my right cheek
1835,ham, will be september by then
1836,ham,re yo wet right now
1837,ham,nd hows yor hsbnd
1839,ham,re we doing the norm morrow i finish jst   cos of st tests need  sort librry stff ot t some point mo  got letter from dy  ccess til end mrch so i better get move on
1840,ham,yeh i got  list with only  nd jonn if im feeling relly nti socil
1841,ham,i m in yor office n
1842,ham,re yo comingdown lter
1843,ham,sper dgood replcement for mrli
1844,ham,d is good good plyerwhy he is nsold
1845,ham,hi  do  wnt   join me with sts lter  meeting them t five  cll  fter clss
1846,ham,its on in englnd bt telly hs decided it wont let me wtch it nd mi nd elliot were kissing dmn it
1848,ham,i dont wnt  her philosophy jst sy wht hppen
1849,ham,yo got job in wiproyo will get every thing in life in  or  yers
1850,ham,then cnt get d lpp my mtric crd wif  lei 
1851,ham,dnno d next show ft  is   pyoh got 
1853,ham,i jst mde some pyments so dont hve tht mch sorry wold yo wnt it fedex or the other wy
1854,ham,they didt ply one dy lst yer know even thogh they hve very good tem like indi
1855,ham,kyo re the only girl witing in reception h
1856,ham,sy this slowly godi love yo mp i need yoclen my hert with yor bloodsend this  ten specil people mp  c mircle morrow do itplspls do it
1857,ham,i hte when she does this she trns wht shold be  fn shopping trip in n nnoying dy of how everything wold look in her hose
1858,ham,sir i m witing for yor cll
1859,ham,whts p do yo wnt me  come online
1860,ham,it cold work well rech  consenss t the next meeting
1861,ham,iyh then i wit lor then  entertin me hee
1862,ham,the lst thing i ever wnted  do ws hrt yo nd i didnt think it wold hve yod lgh be embrssed delete the tg nd keep going bt s fr s i knew it wsnt even p the fct tht yo even felt like i wold do it  hrt yo shows yo relly dont know me t ll it ws messy wednesdy bt it wsnt bd the problem i hve with it is yo hve the time  clen it bt yo choose not  yo skype yo tke pictres yo sleep yo wnt  go ot i dont mind  few things here nd there bt when yo dont mke the bed when yo throw lndry on p of it when i cnt hve  friend in the hose becse im embrssed tht theres nderwer nd brs strewn on the bed pillows on the floor thts something else yo sed  be good bot t lest mking the bed
1863,ham,ill let yo know when it kicks in
1864,ham,yo cll him now ok i sid cll him
1865,ham,cll  the nmber which is vilble in ppointment nd sk  connect the cll  wheed fthim
1866,ham,or  go by wif him then i meet  lter cn
1867,ham,mmmm  fck  not fir  yo know my weknesses  grins pshes yo  yor knees exposes my belly nd plls yor hed  it dont forget  i know yors o wicked smile
1868,ham,dy my system sh get redyll is well nd i m lso in the deep well
1869,ham,mom wnts  know where yo t
1870,ham,ight ill text yo when im bck
1871,ham,dont know spports ss nd srt i thnk i think ps cn ply throgh sb o
1872,ham,oh ok i didnt know wht yo ment yep i m bby jontin
1876,ham,wtching tv now i got new job 
1877,ham,this pen thing is beyond  joke wont  biro do dont do  msters s cnt do this ever gin 
1878,ham,i m t  prty with lex nichols
1880,ham,jst seeing yor missed cll my der brother do hve  gr dy
1881,ham,ok  finishing soon
1882,ham,sorry i cnt help yo on this
1883,ham,come  me slve yor doing it gin  going in yor shell nd nconsciosly voiding me  yo re mking me nhppy 
1884,ham,i love yor ss do yo enjoy doggy style 
1885,ham,i think sking for  gym is the excse for lzy people i jog
1888,ham,no on the wy home so if not for the long dry spell the seson wold hve been over
1889,ham,i gott collect d cr t  lei
1890,ham,ok bt knckered jst cme home nd went  sleep not good t this fll time work lrk
1891,ham,probbly erlier thn tht if the sttions where i think it is
1893,ham,good morning plz cll me sir
1895,ham,h heds p we dont hve tht mch left
1896,ham,i t  otside cos drren sy  come shopping of corse we nice wt we js went sim lim look t mp plyer
1897,ham,ight sonds good when do yo wnt me  come down
1898,ham,wt wold  like  r birthdy
1899,ham,i love working from home 
1900,ham,nd miss vdy the prchte nd doble coins  mst not know me very well
1901,ham,sorry ill cll lter
1902,ham,my sister got plced in birl soft d
1904,ham,wh okie okie mz mke se of e nlimited hh 
1905,ham,therere some people by m im t the tble by lmbd
1906,ham,nd sp being n old mn yo get  bild snowmn snow ngels nd snowbll fights
1907,ham,ello bbe  ok
1908,ham,hello betifl r  ok ive kind d  row wiv nd he wlked ot the pb i wnted  night wiv  miss  
1909,ham,then  going ike str ft dt
1910,ham,becoz its  ltgt  jn whn l the post ofice is in holidy so she cn go fr the post oficegot it dffer
1911,ham,lol grr my mom is tking forever with my prescription phrmcy is like  mintes wy gh
1912,ham,for rel tho this scks i cnt even cook my whole electricity is ot nd im hngry
1913,ham,yo wnt  go 
1915,ham,its not tht time of the month nor mid of the time
1916,ham,fffff cn yo text kdeem or re yo o fr gone
1917,ham,we not leving yet ok lor then we go elsewhere n et  thk
1918,ham,is fjits s series lifebook good
1919,ham,yr i wnted  scold  yest bt lte lredy i where got zhong se qing yo if  sk me b he sk me then ill go ot w  ll lor n  still cn ct so rel
1920,ham,dont know yo bring some food
1921,ham,no crrent nd food here i m lone lso
1922,ham,ill be in sch fr  i dn hf d book in sch its t home
1923,ham,hello they re going  the villge pb t  so either come here or there ccordingly ok
1924,ham,ok
1925,ham,we don cll like  ltgt  times oh no give s hypertension oh
1926,ham,dont give  monkeys wot they think nd i certinly dont mind ny friend of minell tht jst dont sleep wiv  tht wd be nnoyin
1927,ham,omg it cold snow here nite
1930,ham,crry on not distrbing both of yo
1931,ham,wht p tell me i went  bth
1932,ham,js finished vtr nigro
1933,ham,r  over scrtching it
1934,ham,hope yo re hving  gret dy
1935,ham,did either of yo hve ny ides do yo know of nyplces doing something
1936,ham,my plnning slly sps t find hell weed
1937,ham,the fct tht yore clening shows yo know why im pset yor priority is constntly wht i wnt  do
1938,ham,excellent re yo redy  mon nd screm in ecstsy
1940,ham,dde vtr d ws imp t one point i thoght there were ctlly flies in the room nd lmost tried hittng one s  reflex
1942,ham,kkwhy cnt yo come here nd serch job
1943,ham,i got losy sleep i kept wking p every  hors  see if my ct wnted  come in i worry bot him when its cold 
1944,ham,yeh ill leve in  cople mintes mp let yo know when i get  m
1945,ham,cn  cll me t   mke sre dt ive woken p
1946,ham,hey we cn go jzz power yog hip hop kb nd yogsn 
1947,ham,the bttery is for mr dewle my ncle k egbon
1948,ham,i cnt pick the phone right now pls send  messge
1949,ham,wit  minstnd t bs sp
1950,ham,oh ic i thoght yo ment mry jne
1951,ham,hh relly oh no how then will they dedct yor lesson tmr
1952,ham,nh im goin  the wrks with j wot bot 
1953,ham,then jst et  shit nd wit for r monkey fce bitch  sshole
1954,ham,good night m going  sleep
1955,ham,ight ill grb something  et o text me when yore bck t m
1956,ham,kkwhy cnt yo come here nd serch job
1957,ham,tke something for pin if it moves however  ny side in the next hrs see  docr
1958,ham,lol  oh no bbe i wont be sliding in yor plce fter midnight bt thnks for the invite
1959,ham,howz tht persons sry
1961,ham,lol tht wold be wesome pybck
1963,ham,yes it completely in ot of formclrk lso tter wste
1964,ham,honeybee sid im d sweetest in d world god lghed mp sid wit hvnt met d person reding this msg morl even god cn crck jokes gmgngegn
1965,ham,thnks it ws only from tescos bt qite nice ll gone now spek soon 
1966,ham,whts  fethery bow is tht something gys hve tht i dont know bot
1967,ham,even i cnt close my eyes yo re in me or vv plying mm d
1968,ham, lpp i noe infr bt o slow lr i wn fst one
1970,ham,nvm its ok
1971,ham,enjoy r life  good night
1972,ham,yes bt cn we meet in wn cos will go  gep nd then home yo cold text t bs sp nd dont worry well hve finished by mrch  ish
1973,ham,i hd skd   qestion some hors before its nswer
1974,ham,thts cool where shold i cm on yo or in yo 
1975,ham,delhi nd chenni still silent
1976,ham,lol lright i ws thinkin tht o hh
1978,ham,no im in the sme bot still here t my moms check me ot on yo im hlf nked
1979,ham,shhhhh nobody is spposed  know
1980,ham,sorry ill cll lter
1981,ham,sorry ill cll lter in meeting ny thing relted  trde plese cll rl ltgt 
1982,ham,hey i will be lte im t mk need  drink te or coffee
1983,ham,i wnt  by  bmw cr rgentlyits vry rgentbt hv  shortge of  ltgt lcsthere is no sorce  rng dis mt ltgt lcsthts my prob
1985,ham,the length is e sme bt e p shorter n i got  fringe now i thk im not going lio o lzy dn wn  distrct  lso
1986,ham,snth nm corrct dne
1987,ham,no cllsmessgesmissed clls
1988,ham,sorry ill cll lter
1989,ham,the bskets gettin fll so i might be by night
1990,ham,hi drlin ive jst got bck nd i hd  relly nice night nd thnks so mch for the lift see  morrow xxx
1991,ham,no other vlentines hh the proof is on yor fb pge gh im so gld i relly didnt wtch yor rpl show yo ol
1993,ham,eh den st  book e kb lio hh
1994,ham,hve yo been prctising yor crtsey
1995,ham,shll i come  get pickle
1996,ham,lol boo i ws hoping for  lgh
1997,ham,yeh i m def p something st
1998,ham,well i hve  leve for my clss bbe  yo never cme bck  me    hope yo hve  nice sleep my love
1999,ham,lmo wheres yor fish memory when i need it
2000,ham,bt ill b going  sch on mon my sis need  tke smth
2001,ham,ide will soon get converted  live
2003,ham,ssindi going  drw the series fter mny yers in soth fricn soil
2004,ham,goodmorning dy i m lte for  ltdecimlgt min
2005,ham,cnt tke ny mjor roles in commnity otrech yo rock mel
2006,ham,shopping lor them rining mh hrd  leve orchrd
2007,ham,hi here hve birth t on the    t lb oz mother nd bby doing brillintly
2008,ham,see the forwrding messge for proof
2009,ham,i cnt keep going throgh this it ws never my intention  rn yo ot bt if yo choose  do tht rther thn keep the room clen so i dont hve  sy no  visirs then mybe thts the best choice yes i wnted yo  be embrssed so mybe yod feel for once how i feel when i hve  friend who wnts  drop by nd i hve  sy no s hppened this morning ive tried everything i dont know wht else  do
2010,ham,dnno lei i thk mm lzy  go ot i nev sk her yet
2011,ham,do whtever yo wnt yo know wht the rles re we hd  tlk erlier this week bot wht hd  strt hppening yo showing responsibility yet every week its cn i bend the rle this wy wht bot tht wy do whtever im tired of hving thi sme rgment with yo every week nd   ltgt  movie doesnt inlde the previews yore still getting in fter 
2012,ham,betifl trth ginst grvity red creflly or hert feels light when someone is in it bt it feels very hevy when someone leves it goodmorning
2014,ham,mbrithmdrimet  in rn dh mrrgeremembr
2015,ham,jst re red it nd i hve no shme bt tell me how he tkes it nd if he rns i will blme   ever not relly  ever jst  long time 
2016,ham,princess is yor kitty shved or ntrl
2017,ham,better thn bb if he wont se it his wife will or them docr
2018,ham,y it cme  while go
2019,ham,from morrow onwrds eve    work
2020,ham,nything lor bt  pyoh got plce  wlk meh
2021,ham,i dont hve nybodys nmber i still hvent thoght p  tctfl wy  sk lex
2023,ham,is there ny movie thetre i cn go  nd wtch nlimited movies nd jst py once
2024,ham, hving lnch lone i now so bored
2025,ham,yes obviosly bt yo re the eggspert nd the pot hed spek soon 
2026,ham,nh mn my cr is ment  be crmmed fll of people
2027,ham,no got new job t br in irport on stsgettin per hor bt mens no lie in keep in ch
2028,ham,kllis is redy for bt in nd innings
2029,ham,thnx bt my birthdy is over lredy
2030,ham,gh y cnt  jst pologize dmit  were wrong nd sk me  tke  bck
2031,ham,i noe l  wn pei bf oso rite k lor other dys den
2032,ham,yes im smll kid nd boost is the secret of my energy
2033,ham,im gonn miss  so mch
2034,ham,is vtr spposed  hve sbitles
2035,ham,simply sitting nd wtching mtch in office
2036,ham,yo cn jot down things yo wnt  remember lter
2037,ham,oh sorry plese its over
2038,ham,hey re we going for the lo lesson or gym 
2039,ham,dont pck wht yo cn by t ny srelike cerels if yo mst pck food pck gri or something j tht yo will miss
2040,ham,yo lwys mke things bigger thn they re
2041,ham, dn wn  wtch infernl ffir
2042,ham,me not wking p   in the fternoon sp
2044,ham,i cn send yo  pic if yo like 
2045,ham,oky i booked ll lredy inclding the one t bgis
2046,ham,ight fck it ill get it lter
2047,ham,no de bt cll me fter some time ill tell yo k
2048,ham,so dont se hook p ny how
2049,ham,how mch is blckberry bold in nigeri
2050,ham,hi where yo yo in home or clict
2051,ham,hey drlin i cn pick  p t college if  tell me wen  where  mt love pete xx
2053,ham,oh i ws thkin of goin yogsn t  den no nd  go t  den cn rsh  prco  nb okie lor  cll me when redy
2054,ham,y so lte bt i need  go n get d lpp
2055,ham,sir i m witing for yor mil
2056,ham,plese chrge my mobile when yo get p in morning
2057,ham,nothing i got msg frm tht nknown no
2058,ham,gh fck it im resbbing  eve
2059,ham,he didnt see his shdow we get n erly spring yy
2060,ham,i did one slice nd one bredstick lol
2061,ham,hey  i wnt yo  i crve yo  i miss yo  i need yo  i love yo hmd seed l hllq 
2062,ham,is there ny trining morrow
2064,ham,pss dis  ll r contcts n see wt  get redim in lv wid  ble pt  smile on my fce prple r rely hot pink r so swt orngei thnk i lyk  greeni rely wn go ot wid  yelowi wnt  bck blckim jelos of  browni miss yo nw plz giv me one color
2065,ham,cos dddy rrnging time c wt time fetch  mh
